tool_slug,tool_name_en,category_code,implementation_mode,monetization_model,build_complexity,commercial_intent,localization_leverage,recurring_use,ai_fit,paid_fit,baseline_competition,static_delivery_fit,mvp_wave,status,source_id,notes
essay-outline-generator,Essay Outline Generator,writing_ai,ai_api,subscription,3,4,5,4,5,4,5,1,,candidate,editorial_seed_20260717,Initial opportunity catalog
faq-generator,FAQ Generator,writing_ai,ai_api,subscription,3,4,5,4,5,4,5,1,,candidate,editorial_seed_20260717,Initial opportunity catalog
grammar-checker,Grammar Checker,writing_ai,ai_api,subscription,3,4,5,4,5,4,5,1,,candidate,editorial_seed_20260717,Initial opportunity catalog
paraphrasing-tool,Paraphrasing Tool,writing_ai,ai_api,subscription,3,4,5,4,5,4,5,1,,candidate,editorial_seed_20260717,Initial opportunity catalog
plagiarism-checker,Plagiarism Checker,writing_ai,ai_api,subscription,3,4,5,4,5,4,5,1,,candidate,editorial_seed_20260717,Initial opportunity catalog
poem-generator,Poem Generator,writing_ai,ai_api,subscription,3,4,5,4,5,4,5,1,,candidate,editorial_seed_20260717,Initial opportunity catalog
sentence-rewriter,Sentence Rewriter,writing_ai,ai_api,subscription,3,4,5,4,5,4,5,1,,candidate,editorial_seed_20260717,Initial opportunity catalog
spell-checker,Spell Checker,writing_ai,ai_api,subscription,3,4,5,4,5,4,5,1,,candidate,editorial_seed_20260717,Initial opportunity catalog
story-generator,Story Generator,writing_ai,ai_api,subscription,3,4,5,4,5,4,5,1,,candidate,editorial_seed_20260717,Initial opportunity catalog
text-expander,Text Expander,writing_ai,ai_api,subscription,3,4,5,4,5,4,5,1,,candidate,editorial_seed_20260717,Initial opportunity catalog
text-shortener,Text Shortener,writing_ai,ai_api,subscription,3,4,5,4,5,4,5,1,,candidate,editorial_seed_20260717,Initial opportunity catalog
text-summarizer,Text Summarizer,writing_ai,ai_api,subscription,3,4,5,4,5,4,5,1,,candidate,editorial_seed_20260717,Initial opportunity catalog
tone-changer,Tone Changer,writing_ai,ai_api,subscription,3,4,5,4,5,4,5,1,,candidate,editorial_seed_20260717,Initial opportunity catalog
